Name,Hindi Name,Botanical Name,Uses,Medicinal
Aloe vera,Gheekumari,Aloe barbadensis Miller,"Skin care, digestion, immune system",1
Amla,Amla,Phyllanthus emblica,"Anti-inflammatory, digestion, hair care",1
Ashwagandha,Ashwagandha,Withania somnifera,"Stress relief, anxiety, sleep quality",1
Ajwain,Ajwain,Trachyspermum ammi,"Digestive aid, respiratory health",0
Arjuna,Arjuna,Terminalia arjuna,"Heart health, blood pressure regulation",1
Ashoka,Ashoka,Saraca asoca,"Female reproductive health, blood purification",1
Astragalus,Astragalus,Astragalus membranaceus,"Immune system support, anti-aging",1
Acorus,Vach,Acorus calamus,"Memory enhancement, digestion",1
Asparagus,Shatavari,Asparagus racemosus,"Female reproductive health, immune system",1
Ash Gourd,"Petha, Safed Kaddu",Benincasa hispida,"Weight loss, hydration, cooling effect",0
Avocado,"Makhanphal, Kulu",Persea americana,"Heart health, brain function, skin care, weight management",0
Brahmi,Brahmi,Bacopa monnieri,"Memory enhancement, stress relief",1
Basil,Tulsi,Ocimum basilicum,"Anti-inflammatory, antioxidant",1
Bitter Gourd,Karela,Momordica charantia,"Diabetes management, weight loss",1
Bay Leaf,Tej Patta,Laurus nobilis,"Digestive aid, anti-inflammatory",1
Butterfly Pea,Shankhpushpi,Clitoria ternatea,"Anxiety relief, brain function improvement",1
Borage,Gaozban,Borago officinalis,"Anti-inflammatory, respiratory health",1
Black Pepper,Kali Mirch,Piper nigrum,"Digestive aid, anti-inflammatory",1
Bael Fruit,Bel,Aegle marmelos,"Digestive aid, immune system booster",1
Bacopa,Neer Brahmi,Bacopa monnieri,"Memory enhancement, stress relief",1
Beetroot,Chukandar,Beta vulgaris,"Blood pressure regulation, antioxidant",1
Calendula,Genda Phool,Calendula officinalis,"Anti-inflammatory, skin care",1
Cannabis,Bhang,Cannabis sativa,"Pain relief, anxiety, depression",1
Cardamom,Elaichi,Elettaria cardamomum,"Digestive aid, fresh breath",0
Carom,Ajwain,Trachyspermum ammi,"Digestive aid, respiratory health",1
Catnip,Baldrian,Nepeta cataria,"Relaxant, sleep aid",0
Chamomile,Babune ka phal,Matricaria chamomilla,"Relaxant, sleep aid",1
Chia,Chia,Salvia hispanica,"Nutritious, hydrating",0
Cinnamon,Dalchini,Cinnamomum verum,"Anti-inflammatory, blood sugar control",1
Citronella,Gao Takhrai,Cymbopogon nardus,"Insect repellent, fragrance",0
Clove,Laung,Syzygium aromaticum,"Toothache relief, antibacterial",1
Coriander,Dhaniya,Coriandrum sativum,"Digestive aid, antioxidant",0
Cranberry,Karonda,Vaccinium oxycoccos,"Urinary tract health, antioxidant",0
Cumin,Jeera,Cuminum cyminum,"Digestive aid, immune system",1
Curry leaf,Kadi Patta,Murraya koenigii,"Digestive aid, hair care",1
Cypress,Sufaida,Cupressus sempervirens,"Respiratory health, skin care",0
Dandelion,Dudhi,Taraxacum officinale,"Detoxification, liver health, digestion",1
Datura,Dhatura,Datura stramonium,"Respiratory disorders, pain relief, hallucinogenic",1
Devil's claw,Shaitan ki nakhunsi,Harpagophytum procumbens,"Arthritis, pain relief, digestive issues",1
Dill,Suva,Anethum graveolens,"Digestive disorders, insomnia, menstrual cramps",0
Dogwood,Kharjura,Cornus florida,"Skin health, fever reduction, pain relief",1
Echinacea,Gulabi konpal,Echinacea purpurea,"Immune system support, cold and flu relief",1
Elderberry,Sambucus,Sambucus nigra,"Cold and flu relief, immune system support",1
Eucalyptus,Nilgiri,Eucalyptus globulus,"Respiratory disorders, insect repellant, pain relief",1
Fennel,Saunf,Foeniculum vulgare,"Digestive disorders, colic, gas, and bloating",0
Feverfew,Kadam,Tanacetum parthenium,"Migraine relief, fever reduction, inflammation",1
Garlic,Lahsun,Allium sativum,"Cardiovascular health, immune system support, antibacterial",1
Ginger,Adrak,Zingiber officinale,"Digestive disorders, nausea, inflammation",1
Ginseng,Ashwagandha,Panax ginseng,"Energy and endurance, immune system support, stress relief",1
Goldenseal,Sada bahar,Hydrastis canadensis,"Immune system support, digestive disorders, wound healing",1
Gotu kola,Brahmi booti,Centella asiatica,"Memory enhancement, cognitive function, wound healing",1
Guggulu,Guggulu,Commiphora mukul,"Cholesterol reduction, inflammation, arthritis",1
Guava,Amrud,Psidium guajava,"Immune system support, digestive disorders, skin health",1
Hibiscus,Gurhal,Hibiscus rosa-sinensis,"Hair care, skin care, menstrual cramps",1
Indian gooseberry,Amla,Phyllanthus emblica,"Immune system, digestion, hair care",1
Jasmine,Chameli,Jasminum officinale,"Aromatherapy, relaxation, skin care",0
Kava,Kava,Piper methysticum,"Anxiety, stress relief, sleep aid",1
Lavender,Lavender,Lavandula angustifolia,"Aromatherapy, relaxation, skin care",0
Moringa,Sahijan,Moringa oleifera,"Nutrition, skin care, inflammation",1
Neem,Neem,Azadirachta indica,"Skin care, oral health, insect repellent",1
Oregano,Sathra,Origanum vulgare,"Digestive health, respiratory health, antioxidant",0
Peppermint,Pudina,Mentha piperita,"Digestive health, headache relief, aromatherapy",0
Queen of the Night,Raatrani,Epiphyllum oxypetalum,"Aromatherapy, relaxation, sleep aid",0
Rose,Gulab,Rosa spp.,"Skin care, aromatherapy, menstrual cramps",0
Sage,Salvia,Salvia officinalis,"Digestive health, oral health, anti-inflammatory",0
Thyme,Ajwain,Thymus vulgaris,"Digestive health, respiratory health, antibacterial",0
Uva ursi,Baerberry,Arctostaphylos uva-ursi,"Urinary health, antibacterial, antioxidant",1
Valerian,Tagar,Valeriana officinalis,"Anxiety, stress relief, sleep aid",1
White willow,Safed willow,Salix alba,"Pain relief, inflammation, fever reducer",0
Xigua,Kharbuja,Citrullus lanatus,"Hydration, antioxidant, anti-inflammatory",0
Yellow dock,Chukhavisa,Rumex crispus,"Digestive health, skin care, antioxidant",1
Zedoary,Karchur,Curcuma zedoaria,"Digestive health, inflammation, antioxidant",1
Hawthorn,Tejpatra,Crataegus laevigata,"Used for heart problems, high blood pressure, digestion",1
Holy Basil,Tulsi,Ocimum tenuiflorum,"Used for respiratory infections, stress relief",1
Henna,Mehndi,Lawsonia inermis,"Used as hair dye, skin conditioner, pain relief",0
Hemp,Bhang,Cannabis sativa,"Used for pain relief, anxiety, inflammation",1
Honeysuckle,Madhumalati,Lonicera japonica,"Used for respiratory infections, digestive disorders",1
Horse Chestnut,Aesculus,Aesculus hippocastanum,"Used for varicose veins, circulatory disorders",1
Horseradish,Sahijan,Armoracia rusticana,"Used for respiratory infections, digestive disorders",1
Hydrangea,Kharpatwa,Hydrangea macrophylla,"Used for urinary tract infections, kidney stones",1
Irish Moss,Saragassum vulgare,Saragassum vulgare,"Respiratory health, Skin care",1
Ivy Gourd,Tindora,Coccinia grandis,"Blood sugar regulation, Digestion",1
Jambul,Jamun,Syzygium cumini,"Antidiabetic, digestive, cardio protective",1
Jatamansi,Jatamansi,Nardostachys jatamansi,"Sedative, calmative, anti-inflammatory",1
Jatropha,Ratanjot,Jatropha curcas,"Purgative, antimicrobial, anti-cancer",0
Khat,Qat,Catha edulis,"Stimulant, appetite suppressant",0
Kudzu,Vidari Kand,Pueraria lobata,"Alcoholism treatment, menopause relief",1
Lemon Balm,Billilotan,Melissa officinalis,"Digestive aid, relaxation",1
Licorice Root,"Mulhathi, Jethimadh",Glycyrrhiza glabra,"Sore throat, respiratory issues, digestive aid",1
Lemon Grass,Gandhatrina,Cymbopogon citratus,"Digestive aid, relaxation, skin care",1
Lily of the Valley,"May Lily, Konvalinka",Convallaria majalis,"Congestive heart failure, arrhythmia",1
Mango,Aam,Mangifera indica,"Culinary, medicinal",1
Mint,Pudina,Mentha spicata,"Aromatherapy, culinary, medicinal",1
Mulberry,Shahtoot,Morus nigra,"Culinary, medicinal",0
Nigella,Kalonji,Nigella sativa,"Culinary, medicinal",1
Olive,Jaitun,Olea europaea,"Culinary, medicinal",1
Onion,Pyaaz,Allium cepa,"Culinary, medicinal",1
Orange,Santra,Citrus sinensis,"Culinary, medicinal",1
Papaya,Papita,Carica papaya,"Digestive aid, skin care, wound healing",1
